,date of low,low,number of weeks since drop,original closing price,original date,ticker
323,20180202,2.24,26,2.29,20170804,EXK
324,20141219,25.99,25,27.01,20140627,PBF
325,20160729,55.04,13,73.16,20131122,PRLB
326,20161028,44.45,26,59.83,20160429,PRLB
327,20160617,21.44,6,44.45,20161028,CTLT
328,20150313,8.64,1,24.47,20160506,AU
329,20150807,5.73,22,9.56,20150306,AU
330,20160311,7.06,18,7.06,20151106,AU
331,20161216,9.51,5,13.43,20161007,AU
332,20151113,3.96,13,11.21,20161111,AVH
333,20160115,3.59,22,6.61,20150814,AVH
334,20170630,6.5,21,7.26,20170203,AVH
335,20180209,4.2,14,11.58,20141212,CBL
337,20160205,31.06,4,59.76,20160108,PAG
338,20130705,28.37,2,34.91,20160108,VIPS
339,20131220,26.49,26,26.49,20130621,VIPS
340,20141212,19.7,5,39.9,20130816,VIPS
341,20160212,10.95,13,23.34,20141107,VIPS
342,20171201,8.41,1,13.6,20151113,VIPS
343,20160212,8.08,5,15.95,20151113,WLH
344,20160219,8.82,1,13.43,20160108,WLH
345,20160513,8.08,13,8.08,20160212,WLH
346,20160129,24.8,25,32.36,20150807,HYH
347,20171110,41.39,4,67.41,20150320,ODC
348,20151211,24.76,16,41.58,20171013,SHOP
349,20160212,19.33,25,27.77,20150821,SHOP
350,20160603,19.89,20,19.89,20160115,SHOP
351,20140131,41.81,3,97.92,20171006,AZZ
352,20150515,1.18,24,40.34,20140110,SD
355,20150626,0.95,24,1.79,20141212,SD
356,20150807,0.5,23,1.36,20150109,SD
357,20150925,0.3,20,1.77,20150227,SD
359,20160106,0.15,16,1.18,20150515,SD
364,20170224,0.27,26,0.27,20151204,SD
365,20170331,0.15,26,0.15,20160106,SD
366,20171110,46.93,26,46.93,20170512,DDS
367,20130614,43.25,8,58.01,20170811,BMI
368,20161021,31.64,5,42.74,20130419,BMI
369,20140530,18.37,4,32.89,20160916,SSI
370,20151002,9.85,6,18.76,20140502,SSI
371,20151120,6.84,13,9.82,20150821,SSI
372,20160624,4.99,5,6.84,20151120,SSI
373,20161125,4.3,1,5.0,20160520,SSI
374,20170324,1.98,18,4.45,20161118,SSI
375,20170714,1.8,24,2.75,20170127,SSI
376,20170811,1.7,20,1.98,20170324,SSI
377,20171124,6.24,14,14.66,20170818,NETS
380,20160226,4.03,17,7.96,20180119,RFP
382,20161111,4.05,1,4.3,20160205,RFP
383,20170324,3.95,20,3.95,20161104,RFP
384,20170929,5.05,21,5.3,20170505,RFP
385,20131011,11.99,2,40.88,20130419,NDRO
386,20160122,2.12,5,12.05,20130927,NDRO
387,20160415,2.42,17,2.42,20151218,NDRO
388,20160715,2.76,17,2.76,20160318,NDRO
389,20141226,9.65,11,95.25,20141128,ATTO
390,20160318,7.19,1,10.59,20141010,ATTO
391,20160708,7.12,17,7.12,20160311,ATTO
392,20170413,6.9,17,6.9,20161216,ATTO
393,20160212,3.15,20,5.58,20150925,MT
395,20160212,5.69,4,6.19,20160115,GMZ
396,20160212,20.18,10,24.8,20151204,OKE
399,20150904,23.09,17,25.92,20150508,SJI
400,20130315,29.16,6,58.54,20130201,DDD
401,20160122,7.42,3,8.69,20151231,DDD
402,20160129,7.01,2,7.01,20160115,DDD
403,20160610,12.45,5,13.16,20160506,DDD
405,20171117,8.34,15,13.47,20170804,DDD
406,20141010,2.99,10,8.99,20171103,HK
407,20150116,1.2,24,5.42,20140801,HK
409,20150529,1.05,26,2.27,20141128,HK
411,20151204,0.4701,10,1.2,20150116,HK
412,20151218,0.27,7,0.665,20150925,HK
415,20160527,0.2677,25,0.4701,20151204,HK
421,20160812,0.2799,12,0.2799,20160520,HK
422,20161028,0.313,12,0.313,20160805,HK
423,20170623,3.9,1,8.08,20160916,HK
424,20170908,4.43,12,4.43,20170616,HK
425,20141205,16.44,10,17.55,20141212,CMCM
426,20151002,14.96,6,20.03,20140926,CMCM
427,20160129,14.23,23,17.83,20150821,CMCM
428,20160624,9.34,5,15.96,20150925,CMCM
429,20170929,8.41,5,10.2,20160520,CMCM
430,20171117,10.02,12,10.02,20170825,CMCM
431,20161223,11.95,3,18.73,20160318,GES
432,20160205,9.76,3,12.91,20161202,AHP
433,20160324,10.04,10,10.39,20160115,AHP
434,20170818,9.27,24,10.95,20170303,AHP
435,20160122,2.04,6,14.66,20141128,SDRL
436,20160212,1.67,5,4.16,20151211,SDRL
437,20160311,2.82,9,2.82,20160108,SDRL
438,20170203,1.85,7,4.0,20160311,SDRL
439,20170616,0.44,26,3.67,20161216,SDRL
440,20170707,0.34,22,1.85,20170203,SDRL
441,20170825,0.2,25,1.25,20170303,SDRL
444,20170908,0.22,2,0.3,20170811,SDRL
445,20171027,0.2,9,0.2,20170825,SDRL
446,20171110,0.22,9,0.22,20170908,SDRL
447,20171229,0.2313,3,0.293,20171013,SDRL
448,20130510,63.9,1,115.55,20170303,CHE
449,20150116,6.56,5,68.0,20130503,BTU
450,20150612,2.53,26,7.37,20141212,BTU
451,20150807,1.05,22,6.4,20150306,BTU
454,20150925,1.22,10,1.29,20150717,BTU
456,20151106,1.41,7,1.41,20150918,BTU
457,20151113,1.22,7,1.22,20150925,BTU
458,20160219,2.04,16,12.79,20151030,BTU
463,20160413,2.07,9,2.43,20160212,BTU
464,20160408,2.04,7,2.04,20160219,BTU
465,20170317,2.07,8,2.5,20160318,BTU
466,20160212,8.6,9,11.02,20151211,FOR
467,20170818,17.35,1,78.51,20140124,CYD
468,20150116,7.32,1,16.78,20170811,ASPN
469,20151113,5.6,1,6.66,20150109,ASPN
