,Close,Date,Open,Ticker,Volume
882,13.0,20000310,14.56,ABC,1783500
881,30.44,20000714,34.56,ABC,1684600
880,42.75,20001208,47.62,ABC,7768200
879,45.12,20010105,50.25,ABC,3804100
878,42.06,20010119,49.0,ABC,3531100
877,56.0,20011109,62.3,ABC,15743000
876,61.0,20020712,71.9,ABC,17712300
875,51.3,20021220,57.16,ABC,15964500
874,46.76,20030314,51.97,ABC,14519300
873,54.0,20040102,63.7,ABC,22631000
872,41.4,20051230,81.55,ABC,3478500
871,29.45,20081010,36.14,ABC,12565400
870,31.76,20090227,35.9,ABC,12862400
869,18.31,20090619,36.31,ABC,14583900
868,76.52,20160506,85.19,ABC,24527312
867,69.14,20161028,80.34,ABC,16493709
866,80.83,20170804,94.3,ABC,14904249
865,41.31,20000121,46.25,RYN,414370
864,37.5,20010921,44.0,RYN,659023
863,34.85,20030613,52.2,RYN,805927
862,36.73,20031114,43.1,RYN,3630489
861,36.45,20051021,53.1,RYN,1826490
860,43.17,20070727,48.35,RYN,6728266
859,42.06,20081003,47.59,RYN,5922200
858,33.53,20081017,40.62,RYN,11133133
857,27.81,20081024,33.76,RYN,8291067
856,58.06,20110805,64.73,RYN,6784466
855,40.4,20110826,58.95,RYN,6213934
854,46.98,20131025,58.19,RYN,12900300
853,26.09,20141114,31.5,RYN,20368161
852,7.04,20081010,11.73,NMZ,881663
851,9.97,20081114,11.98,NMZ,281439
850,8.17,20081121,9.74,NMZ,333802
849,8.1399,20081205,10.01,NMZ,230289
848,7.37,20081212,8.24,NMZ,298966
847,8.86,20090306,10.06,NMZ,211727
846,15.0,20140328,16.92,AMBR,1692500
845,11.4,20141107,13.3,AMBR,2168048
844,10.03,20141212,11.2,AMBR,524258
843,8.37,20150213,9.56,AMBR,1700787
842,6.02,20150724,6.7,AMBR,607386
841,4.44,20150807,5.88,AMBR,755954
840,4.12,20151002,4.58,AMBR,893975
839,4.33,20160108,5.04,AMBR,847040
838,3.92,20160205,4.38,AMBR,528473
837,7.97,20170217,9.06,AMBR,2787523
836,7.39,20170811,8.46,AMBR,600312
835,7.39,20171027,8.24,AMBR,169641
834,12.25,20010810,13.65,KST,74800
833,10.5,20010921,12.25,KST,60800
832,6.12,20081010,8.83,KST,271315
831,6.05,20081121,7.28,KST,120911
830,7.9,20081010,11.55,MQY,699146
829,25.27,20130802,28.47,XYL,24352800
828,35.44,20010921,41.37,CNI,3149067
827,47.84,20060303,93.3,CNI,3771500
826,43.81,20081003,50.31,CNI,14098399
825,36.93,20081114,43.88,CNI,13080294
824,32.95,20081121,37.18,CNI,16506678
823,34.35,20090116,38.92,CNI,10776578
822,22.25,20010803,39.0,CEQP,278100
821,23.98,20040116,47.85,CEQP,385100
820,29.92,20070817,35.75,CEQP,925237
819,19.95,20081003,22.24,CEQP,849508
818,13.78,20081010,19.86,CEQP,2896751
817,18.22,20081114,21.03,CEQP,1060204
816,13.23,20081121,18.53,CEQP,1499750
815,22.12,20090220,24.64,CEQP,1256335
814,28.42,20110805,31.87,CEQP,6445008
813,23.82,20111118,26.66,CEQP,5873552
812,17.33,20120127,22.55,CEQP,14560025
811,16.21,20130621,23.95,CEQP,3929993
810,12.97,20131206,15.11,CEQP,5031082
809,13.03,20140808,14.6,CEQP,7307528
808,8.92,20141010,10.19,CEQP,3197794
807,7.18,20141205,9.03,CEQP,3424199
806,7.01,20141226,8.06,CEQP,3299871
805,6.71,20150116,7.51,CEQP,2930409
804,5.2,20150508,6.47,CEQP,7933362
803,3.62,20150724,4.15,CEQP,4734983
802,2.78,20150821,3.42,CEQP,5159364
801,2.38,20150918,2.65,CEQP,10132964
800,2.31,20151113,2.64,CEQP,24704529
799,2.05,20151120,2.29,CEQP,19490862
798,14.04,20151204,19.5,CEQP,4859091
797,17.31,20160108,20.45,CEQP,6381561
796,13.99,20160115,17.38,CEQP,4318354
795,9.04,20160212,11.52,CEQP,5017713
794,9.02,20160226,10.49,CEQP,4899550
793,8.09,20160304,9.15,CEQP,6195812
792,11.44,20000428,13.25,CIR,47200
791,9.438,20000623,11.19,CIR,83100
790,8.188,20000630,9.375,CIR,181700
789,19.4,20010608,22.29,CIR,279700
788,15.25,20020719,17.05,CIR,114500
787,14.1,20020927,16.9,CIR,128900
786,12.65,20021004,14.1,CIR,318500
785,19.56,20040430,22.0,CIR,311400
784,27.22,20060609,30.3599,CIR,438400
783,41.6,20071102,49.95,CIR,1440000
782,43.12,20080104,48.2,CIR,387500
781,53.64,20080905,59.71,CIR,882200
780,44.28,20080926,53.75,CIR,1143600
779,26.9,20081024,35.0,CIR,1080200
778,26.55,20081107,30.5,CIR,1417400
777,22.35,20081114,27.26,CIR,1375100
776,19.44,20081121,22.11,CIR,1550000
775,22.45,20090123,25.43,CIR,1133800
774,18.23,20090306,21.73,CIR,1401700
773,23.09,20090515,26.37,CIR,608000
772,30.79,20100507,34.72,CIR,414300
771,30.31,20100521,34.89,CIR,425800
770,35.06,20110805,44.04,CIR,1245300
769,28.96,20110812,34.5,CIR,1623700
768,27.64,20110923,30.82,CIR,544400
767,35.9,20120224,41.39,CIR,838500
766,65.06,20140801,75.81,CIR,855700
765,57.2,20141205,67.0,CIR,1121454
764,35.92,20160108,41.5,CIR,522715
763,48.14,20161007,59.11,CIR,851140
762,58.0,20170623,66.22,CIR,915838
761,42.96,20171103,49.0,CIR,935016
760,8.43,20081010,11.7,NTX,212034
759,10.89,20081212,12.45,NTX,163424
758,7.875,20000128,8.75,AN,6625600
757,6.875,20000204,7.938,AN,25939400
756,7.063,20000303,8.125,AN,8595700
755,8.188,20000526,9.188,AN,5323600
754,8.37,20010921,10.0,AN,9752000
753,10.72,20021004,11.94,AN,6614500
752,15.2,20071214,17.43,AN,13318300
751,13.9,20080104,15.55,AN,8538400
750,11.97,20080620,13.93,AN,25036100
749,10.44,20080627,11.97,AN,26506500
748,8.98,20080703,10.26,AN,27303300
747,8.09,20080711,9.01,AN,32851300
746,10.93,20081003,12.95,AN,8431900
745,8.1,20081010,10.42,AN,15675800
744,7.34,20081017,8.29,AN,14016400
743,4.43,20081024,7.47,AN,19816300
742,8.56,20081226,9.59,AN,7212700
741,8.42,20090116,9.54,AN,10411400
740,17.24,20091030,20.46,AN,32112300
739,32.94,20110923,36.79,AN,6746500
738,33.44,20120106,37.36,AN,8643200
737,48.82,20160108,59.0,AN,15981415
736,29.65,20081003,34.5,AXS,5831400
735,22.21,20081010,29.0,AXS,7750600
734,19.33,20081121,25.51,AXS,11349000
733,18.68,20090306,21.54,AXS,10409400
732,20.59,20010615,41.43,OKE,1330175
731,18.71,20020712,20.96,OKE,1276400
730,16.35,20020719,18.65,OKE,1647150
729,23.17,20081010,32.97,OKE,9211700
728,18.93,20090306,21.93,OKE,7615700
727,63.7,20110805,73.6,OKE,12087450
726,44.86,20141212,52.25,OKE,17459089
725,43.72,20150109,49.25,OKE,11907602
724,24.8,20151204,29.63,OKE,15663853
723,20.31,20151211,23.97,OKE,26632389
722,20.18,20160212,24.3,OKE,28096580
721,9.74,20110805,11.48,AGRO,1242800
720,7.44,20111007,8.55,AGRO,1814000
719,7.54,20111125,8.71,AGRO,815000
718,8.44,20111209,9.59,AGRO,444200
717,8.86,20120420,9.98,AGRO,1516500
716,16.24,20150821,18.64,PLNT,2072358
715,15.94,20151002,18.01,PLNT,3920903
714,20.01,20161118,24.76,PLNT,9257311
713,7.7,20081010,10.35,MNE,71200
712,7.52,20081212,9.05,MNE,83400
711,8.73,20081010,11.15,BSE,209272
710,8.0995,20081205,9.13,BSE,95337
709,41.89,20070727,50.6,AWI,1726800
708,37.24,20070817,42.25,AWI,1789400
707,29.37,20080307,36.575,AWI,3605000
706,27.08,20081003,31.2,AWI,1255000
705,23.45,20081010,26.48,AWI,1885400
704,19.12,20081024,21.86,AWI,1802600
703,14.54,20081121,16.82,AWI,1671200
702,16.58,20090130,18.7,AWI,1702400
701,12.78,20090227,15.14,AWI,2095400
700,10.22,20090306,12.58,AWI,1909500
699,16.38,20090515,19.34,AWI,1646500
698,34.25,20100122,38.2,AWI,1372200
697,35.19,20100507,44.28,AWI,3641300
696,35.44,20100521,39.41,AWI,1416600
695,33.93,20110805,39.75,AWI,5018000
694,48.77,20120330,59.78,AWI,2612200
693,7.01,20081010,7.81,GIM,4950407
692,7.06,20090220,7.85,GIM,1986244
691,9.14,20100507,10.28,GIM,3924406
690,9.0,20160930,10.64,IRT,21945368
689,28.49,20130503,31.99,PBF,9153500
688,22.77,20130705,25.9,PBF,5562700
687,27.01,20140627,32.14,PBF,18542000
686,24.74,20140912,28.05,PBF,8897400
685,31.05,20150821,35.0,PBF,8021647
684,26.78,20150918,30.05,PBF,8092890
683,29.74,20160205,34.52,PBF,12480409
682,25.12,20170106,28.29,PBF,11777949
681,15.78,20020719,17.67,GME,1445000
680,15.1,20020802,17.56,GME,567600
679,17.63,20021101,20.5,GME,2363300
678,18.5,20021122,20.9,GME,2800800
677,15.8,20021213,18.6,GME,1680900
676,9.47,20021220,16.0,GME,10912300
675,16.07,20031024,18.2,GME,2265600
674,14.7,20031205,16.35,GME,2402400
673,20.54,20041119,22.9,GME,7096300
672,19.55,20050107,22.95,GME,5831000
671,29.1,20081010,33.9,GME,21370800
670,25.73,20081024,32.22,GME,13917800
669,17.98,20081121,23.26,GME,23459400
668,22.38,20090306,26.35,GME,29821400
667,28.83,20090417,32.28,GME,26806200
666,26.13,20090508,29.63,GME,24600500
